date,high,low
2016-11-30,4.8,-6.1
2016-12-01,6,3.4
2016-12-02,7.3,-1.6
2016-12-03,2.4,-4.9
2016-12-04,3.5,-5.8
2016-12-05,3.8,-3.5
2016-12-06,3.9,-5.2
2016-12-07,5,-3
2016-12-08,7.4,0.1
2016-12-09,10.4,5.9
2016-12-10,11.1,4
2016-12-11,10.9,6.8
2016-12-12,9.4,3.2
2016-12-13,6.4,3.2
2016-12-14,8.9,5.4
2016-12-15,8.2,5.5
2016-12-16,5.5,0.7
2016-12-17,6.2,0
2016-12-18,6.4,4.2
2016-12-19,5.5,0.7
2016-12-20,6.5,-1.4
2016-12-21,5.1,-2.8
2016-12-22,4.5,2.6
2016-12-23,6,2.5
2016-12-24,8.6,5.7
2016-12-25,10.5,7.4
2016-12-26,11.3,3.4
2016-12-27,6.8,2.7
2016-12-28,5.3,-0.4
2016-12-29,6,-2.5
2016-12-30,5.4,-4.6
2016-12-31,1.2,-7.1
2017-01-01,1.6,-7.5
2017-01-02,2.3,-1.1
2017-01-03,3.6,0.3
2017-01-04,4.8,0.6
2017-01-05,1.1,-6.5
2017-01-06,-1.5,-8.8
2017-01-07,-0.2,-7.9
2017-01-08,2.8,-0.3
2017-01-09,4.2,1.1
2017-01-10,3.5,0.6
2017-01-11,7.1,1.4
2017-01-12,7.2,2.8
2017-01-13,5.3,-0.2
2017-01-14,3.5,0.3
2017-01-15,2,0
2017-01-16,1.9,-5.5
2017-01-17,-2.2,-8.3
2017-01-18,-1.4,-9.1
2017-01-19,1.6,-8.9
2017-01-20,4.5,-8.4
2017-01-21,3.4,-4.6
2017-01-22,1.8,-8.4
2017-01-23,-1.8,-7.2
2017-01-24,1.1,-2.7
2017-01-25,-0.4,-2.7
2017-01-26,1.7,-3.5
2017-01-27,2.8,-2.7
2017-01-28,7.3,-1.7
2017-01-29,6.7,1.7
2017-01-30,6.9,3.1
2017-01-31,3.1,0.5
2017-02-01,4.7,0.4
2017-02-02,9.6,3.1
2017-02-03,10.7,5.3
2017-02-04,8.2,2.6
2017-02-05,8.1,2.2
2017-02-06,6.3,-1.2
2017-02-07,6.1,3.1
2017-02-08,5.5,0.1
2017-02-09,3.9,-1.1
2017-02-10,0.9,-1
2017-02-11,3.3,-0.8
2017-02-12,7.5,0.2
2017-02-13,8.5,0
2017-02-14,9.9,-0.4
2017-02-15,15.8,-0.8
2017-02-16,11.6,5.3
2017-02-17,7.3,4.5
2017-02-18,8.5,2
2017-02-19,8.6,2.3
2017-02-20,11,6.3
2017-02-21,10.6,8.6
2017-02-22,11.4,9.3
2017-02-23,10.1,4.8
2017-02-24,7.1,1.7
2017-02-25,9.2,-0.3
2017-02-26,12.8,6.1
2017-02-27,12.3,6.4
2017-02-28,8.7,3.2
2017-03-01,9.3,3.4
2017-03-02,9.4,4.1
2017-03-03,11.1,1.4
2017-03-04,15.2,6.4
2017-03-05,10.1,4.4
2017-03-06,7.2,3.7
2017-03-07,8.1,2.9
2017-03-08,9.3,2.9
2017-03-09,13.3,6.5
2017-03-10,11.3,3.6
2017-03-11,13.7,3.3
2017-03-12,14.6,3.4
2017-03-13,14.1,2.7
2017-03-14,15.1,4.6
2017-03-15,14.9,5
2017-03-16,18.1,1.3
2017-03-17,11.3,7.1
2017-03-18,11.6,5.3
2017-03-19,14.8,8.9
2017-03-20,13.9,9.8
2017-03-21,11.3,2.8
2017-03-22,10,-0.5
2017-03-23,15.8,2.6
2017-03-24,15,3.4
2017-03-25,17.1,2.8
2017-03-26,16.9,2.5
2017-03-27,17.6,3.4
2017-03-28,21,4.7
2017-03-29,16.4,8.8
2017-03-30,21.8,11.5
2017-03-31,23,10.1
2017-04-01,18.1,8.2
2017-04-02,17.6,7.3
2017-04-03,15.8,4.7
2017-04-04,16.5,2
2017-04-05,13,2.5
2017-04-06,11.6,5
2017-04-07,12.6,4.2
2017-04-08,17.1,6.1
2017-04-09,22.8,3
